Symbol,Open,Close,O-C change (%),High,Low,H-L change (%),DateTime,Market Sensitive,Headline,Link
AKN,0.002,0.002,0.0,0.002,0.002,0.0,2020-07-06 14:16:00,False,Proposed issue of Securities - AKN,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251997
VEN,0.072,0.07,-2.78,0.072,0.07,2.86,2020-07-06 14:16:00,False,Appendix 02 AGM approved Directors placement,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251996
AKN,0.002,0.002,0.0,0.002,0.002,0.0,2020-07-06 14:16:00,False,Convertible Note Issue,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251995
LKH,,,,,,,2020-07-06 14:15:00,False,mFund - Monthly Redemption Report - LKH01,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251994
NBI,1.745,1.735,-0.57,1.755,1.735,1.15,2020-07-06 14:12:00,False,Daily NTA for 03.07.2020,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251993
VEA,1.79,1.755,-1.96,1.795,1.755,2.28,2020-07-06 14:12:00,False,Viva Energy AGM Results,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251992
QFE,0.695,0.86,23.74,0.93,0.69,34.78,2020-07-06 14:09:00,True,Response to ASX Price and Volume Query,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251991
G1A,0.24,0.24,0.0,0.25,0.24,4.17,2020-07-06 14:08:00,False,Investor Presenation - July 2020,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251990
OLI,0.052,0.052,0.0,0.052,0.05,4.0,2020-07-06 14:03:00,False,EG - OFTG ROLL OUT UPDATE,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251989
KBC,0.071,0.071,0.0,0.071,0.071,0.0,2020-07-06 13:55:00,True,Supplementary Bidders Statement for Keybridge CapitalSupplem,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251988
WAA,0.88,0.895,1.7,0.895,0.88,1.7,2020-07-06 13:55:00,True,Supplementary Bidders Statement for Keybridge Capital,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251987
AMN,0.45,0.455,1.11,0.52,0.45,15.56,2020-07-06 13:52:00,True,Quarterly Cashflow Report,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251986
AMN,0.45,0.455,1.11,0.52,0.45,15.56,2020-07-06 13:52:00,True,Quarterly Activities Report,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251985
